Lead ID,Location,College,Year of Study,Program Interest,Lead Source
LD80,Mumbai,DEF Academy,2nd,Electric Vehicle,Mass-Mailing
LD81,Mumbai,GHI University,2nd,Electric Vehicle,Whatsapp
LD82,Delhi,PQR College,3rd,Web Development,Google Form
LD83,Surat,DEF Academy,2nd,Electric Vehicle,Mass-Mailing
LD84,Ahmedabad,PQR College,1st,Electric Vehicle,LinkedIn
LD85,Surat,DEF Academy,4th,Electric Vehicle,LinkedIn
LD86,Chennai,XYZ University,2nd,AI,Whatsapp
LD87,Ahmedabad,GHI University,1st,AI,Instagram
LD88,Pune,ABC Institute,4th,Data Science,Whatsapp
LD89,Mumbai,ABC Institute,1st,AI,College Collaboration
LD90,Surat,PQR College,1st,Robotics,Mass-Mailing
LD91,Mumbai,PQR College,1st,AI,College Collaboration
LD92,Kolkata,XYZ University,1st,Robotics,College Collaboration
LD93,Mumbai,DEF Academy,2nd,Robotics,Instagram
LD94,Surat,XYZ University,3rd,Electric Vehicle,Mass-Mailing
LD95,Chennai,GHI University,4th,Electric Vehicle,Google Form
LD96,Surat,PQR College,3rd,Data Science,College Collaboration
LD97,Chennai,ABC Institute,4th,Electric Vehicle,Google Form
LD98,Kolkata,GHI University,1st,AI,Mass-Mailing
LD99,Chennai,ABC Institute,1st,Web Development,Google Form
LD100,Delhi,DEF Academy,1st,Robotics,Instagram
LD101,Chennai,XYZ University,2nd,AI,Google Form
LD102,Mumbai,ABC Institute,4th,Data Science,Google Form
LD103,Pune,PQR College,4th,Robotics,Whatsapp
LD104,Ahmedabad,DEF Academy,4th,Data Science,Instagram
LD105,Delhi,ABC Institute,4th,Web Development,College Collaboration
LD106,Kolkata,ABC Institute,4th,AI,Instagram
LD107,Pune,XYZ University,1st,Data Science,Whatsapp
LD108,Chennai,XYZ University,2nd,Data Science,Whatsapp
LD109,Mumbai,XYZ University,1st,Data Science,Whatsapp
LD110,Delhi,PQR College,4th,AI,Instagram
LD111,Surat,PQR College,4th,AI,Google Form
LD112,Ahmedabad,GHI University,2nd,Electric Vehicle,Instagram
LD113,Kolkata,DEF Academy,4th,AI,Instagram
LD114,Delhi,GHI University,4th,Data Science,LinkedIn
LD115,Ahmedabad,PQR College,3rd,Web Development,Google Form
LD116,Pune,PQR College,2nd,Electric Vehicle,Whatsapp
LD117,Surat,GHI University,4th,Data Science,Mass-Mailing
LD118,Chennai,GHI University,4th,Web Development,Instagram
LD119,Delhi,GHI University,3rd,AI,Whatsapp
LD120,Ahmedabad,GHI University,3rd,AI,Instagram
LD121,Surat,PQR College,4th,Web Development,College Collaboration
LD122,Chennai,DEF Academy,1st,Web Development,Whatsapp
LD123,Mumbai,GHI University,2nd,Electric Vehicle,Whatsapp
LD124,Kolkata,DEF Academy,3rd,Robotics,Mass-Mailing
LD125,Surat,DEF Academy,1st,Data Science,LinkedIn
LD126,Delhi,PQR College,3rd,Data Science,Instagram
LD127,Ahmedabad,GHI University,3rd,AI,Whatsapp
LD128,Surat,XYZ University,2nd,Web Development,Mass-Mailing
LD129,Surat,GHI University,1st,Robotics,Google Form
LD130,Pune,ABC Institute,1st,Electric Vehicle,Instagram
LD131,Surat,ABC Institute,2nd,Data Science,Instagram
LD132,Surat,PQR College,2nd,Electric Vehicle,Instagram
LD133,Ahmedabad,GHI University,4th,Robotics,Google Form
LD134,Surat,DEF Academy,2nd,Web Development,Google Form
LD135,Chennai,XYZ University,1st,Robotics,LinkedIn
LD136,Ahmedabad,DEF Academy,2nd,Web Development,Mass-Mailing
LD137,Delhi,PQR College,2nd,Data Science,Mass-Mailing
LD138,Surat,DEF Academy,3rd,Data Science,Whatsapp
LD139,Pune,ABC Institute,1st,Robotics,College Collaboration
LD140,Kolkata,ABC Institute,3rd,Robotics,LinkedIn
LD141,Surat,ABC Institute,2nd,Web Development,Instagram
LD142,Pune,XYZ University,1st,Electric Vehicle,Mass-Mailing
LD143,Surat,DEF Academy,4th,Data Science,Google Form
LD144,Kolkata,GHI University,1st,AI,College Collaboration
LD145,Pune,ABC Institute,1st,Electric Vehicle,Mass-Mailing
LD146,Pune,DEF Academy,2nd,AI,Mass-Mailing
LD147,Delhi,ABC Institute,3rd,Data Science,Whatsapp
LD148,Ahmedabad,XYZ University,3rd,Robotics,College Collaboration
LD149,Chennai,XYZ University,4th,AI,Mass-Mailing
LD150,Surat,PQR College,4th,Electric Vehicle,LinkedIn
LD151,Ahmedabad,DEF Academy,3rd,AI,College Collaboration
LD152,Ahmedabad,DEF Academy,3rd,Robotics,Google Form
LD153,Delhi,XYZ University,3rd,AI,Instagram
LD154,Mumbai,PQR College,3rd,Data Science,Whatsapp
LD155,Mumbai,PQR College,4th,Web Development,Mass-Mailing
LD156,Delhi,PQR College,2nd,Data Science,Whatsapp
LD157,Mumbai,GHI University,3rd,Web Development,Google Form
LD158,Surat,DEF Academy,2nd,Data Science,Google Form
LD159,Chennai,PQR College,1st,Electric Vehicle,Instagram
LD160,Kolkata,PQR College,2nd,Robotics,Mass-Mailing
LD161,Kolkata,DEF Academy,4th,Data Science,Google Form
LD162,Pune,DEF Academy,2nd,Data Science,College Collaboration
LD163,Chennai,ABC Institute,2nd,Robotics,Google Form
LD164,Surat,GHI University,1st,Robotics,LinkedIn
LD165,Chennai,XYZ University,4th,Web Development,Instagram
LD166,Chennai,GHI University,1st,AI,College Collaboration
LD167,Pune,XYZ University,1st,Electric Vehicle,Instagram
LD168,Surat,XYZ University,1st,Electric Vehicle,Mass-Mailing
LD169,Mumbai,XYZ University,1st,Web Development,Whatsapp
LD170,Kolkata,XYZ University,3rd,Web Development,Whatsapp
LD171,Mumbai,XYZ University,2nd,Data Science,College Collaboration
LD172,Surat,GHI University,4th,Electric Vehicle,LinkedIn
LD173,Pune,DEF Academy,4th,Robotics,Whatsapp
LD174,Ahmedabad,PQR College,4th,Electric Vehicle,Mass-Mailing
LD175,Pune,ABC Institute,4th,Web Development,Google Form
LD176,Chennai,PQR College,2nd,Web Development,Whatsapp
LD177,Mumbai,XYZ University,3rd,Robotics,LinkedIn
LD178,Ahmedabad,GHI University,3rd,Robotics,Google Form
LD179,Delhi,PQR College,2nd,AI,College Collaboration
LD180,Mumbai,XYZ University,1st,Electric Vehicle,Mass-Mailing
LD181,Mumbai,XYZ University,3rd,Web Development,LinkedIn
LD182,Kolkata,ABC Institute,1st,Web Development,Google Form
LD183,Ahmedabad,GHI University,1st,Robotics,College Collaboration
LD184,Kolkata,XYZ University,3rd,AI,Instagram
LD185,Ahmedabad,PQR College,3rd,Electric Vehicle,Google Form
LD186,Surat,ABC Institute,1st,Data Science,Google Form
LD187,Mumbai,XYZ University,4th,AI,Google Form
LD188,Delhi,DEF Academy,3rd,AI,Instagram
LD189,Mumbai,GHI University,4th,Robotics,Instagram
LD190,Chennai,DEF Academy,2nd,Web Development,Instagram
LD191,Kolkata,GHI University,1st,Robotics,Instagram
LD192,Surat,GHI University,4th,Data Science,Mass-Mailing
LD193,Mumbai,DEF Academy,3rd,AI,Mass-Mailing
LD194,Pune,ABC Institute,2nd,Web Development,Instagram
LD195,Pune,XYZ University,4th,Web Development,LinkedIn
LD196,Pune,DEF Academy,1st,Web Development,Whatsapp
LD197,Kolkata,XYZ University,2nd,Data Science,College Collaboration
LD198,Chennai,DEF Academy,1st,AI,Google Form
LD199,Surat,DEF Academy,1st,Web Development,Mass-Mailing
LD200,Surat,DEF Academy,1st,Robotics,College Collaboration
LD201,Surat,ABC Institute,1st,Web Development,Mass-Mailing
LD202,Mumbai,PQR College,3rd,Electric Vehicle,LinkedIn
LD203,Ahmedabad,XYZ University,2nd,Web Development,College Collaboration
LD204,Mumbai,GHI University,4th,Data Science,LinkedIn
LD205,Surat,PQR College,3rd,AI,College Collaboration
LD206,Chennai,GHI University,3rd,Data Science,Google Form
LD207,Ahmedabad,PQR College,3rd,Web Development,LinkedIn
LD208,Surat,PQR College,1st,Web Development,Mass-Mailing
LD209,Pune,DEF Academy,1st,Data Science,Google Form
LD210,Ahmedabad,DEF Academy,4th,Electric Vehicle,Google Form
LD211,Delhi,XYZ University,2nd,Web Development,Google Form
LD212,Kolkata,PQR College,1st,Robotics,Google Form
LD213,Delhi,PQR College,1st,Electric Vehicle,College Collaboration
LD214,Delhi,PQR College,2nd,Electric Vehicle,Mass-Mailing
LD215,Delhi,DEF Academy,1st,Electric Vehicle,Instagram
LD216,Kolkata,ABC Institute,4th,Data Science,Instagram
LD217,Delhi,GHI University,3rd,Data Science,College Collaboration
LD218,Chennai,DEF Academy,1st,Electric Vehicle,Google Form
LD219,Surat,GHI University,1st,Data Science,Whatsapp
LD220,Chennai,GHI University,3rd,Robotics,Google Form
LD221,Chennai,DEF Academy,2nd,Web Development,College Collaboration
LD222,Ahmedabad,PQR College,1st,Data Science,LinkedIn
LD223,Pune,DEF Academy,4th,AI,LinkedIn
LD224,Chennai,ABC Institute,1st,AI,Whatsapp
LD225,Chennai,DEF Academy,1st,Web Development,Instagram
LD226,Kolkata,DEF Academy,2nd,Electric Vehicle,LinkedIn
LD227,Ahmedabad,DEF Academy,3rd,Electric Vehicle,Mass-Mailing
LD228,Delhi,PQR College,1st,Web Development,Whatsapp
LD229,Mumbai,GHI University,2nd,Electric Vehicle,College Collaboration
LD230,Kolkata,PQR College,4th,Web Development,LinkedIn
LD231,Delhi,GHI University,1st,Data Science,Google Form
LD232,Kolkata,XYZ University,1st,Data Science,Whatsapp
LD233,Kolkata,GHI University,3rd,Robotics,Instagram
LD234,Surat,ABC Institute,3rd,Data Science,LinkedIn
LD235,Surat,XYZ University,2nd,Robotics,LinkedIn
LD236,Pune,PQR College,2nd,Electric Vehicle,Instagram
LD237,Delhi,PQR College,4th,Web Development,Whatsapp
LD238,Kolkata,ABC Institute,4th,Robotics,Whatsapp
LD239,Pune,ABC Institute,3rd,Robotics,Whatsapp
LD240,Ahmedabad,DEF Academy,1st,AI,Mass-Mailing
LD241,Pune,XYZ University,1st,Data Science,Instagram
LD242,Delhi,XYZ University,2nd,Web Development,Whatsapp
LD243,Pune,GHI University,2nd,Electric Vehicle,Instagram
LD244,Ahmedabad,DEF Academy,2nd,AI,Mass-Mailing
LD245,Surat,ABC Institute,4th,Web Development,Mass-Mailing
LD246,Mumbai,XYZ University,4th,Electric Vehicle,Instagram
LD247,Mumbai,ABC Institute,4th,Robotics,Google Form
LD248,Delhi,DEF Academy,2nd,AI,College Collaboration
LD249,Delhi,GHI University,1st,Electric Vehicle,Google Form
LD250,Kolkata,PQR College,4th,AI,College Collaboration
LD251,Surat,PQR College,2nd,Web Development,Instagram
LD252,Surat,XYZ University,1st,Web Development,College Collaboration
LD253,Ahmedabad,GHI University,4th,Robotics,College Collaboration
LD254,Kolkata,DEF Academy,3rd,Electric Vehicle,Instagram
LD255,Pune,PQR College,2nd,Robotics,Mass-Mailing
LD256,Surat,PQR College,2nd,Electric Vehicle,LinkedIn
LD257,Surat,GHI University,1st,Electric Vehicle,LinkedIn
LD258,Kolkata,PQR College,2nd,Web Development,College Collaboration
LD259,Mumbai,GHI University,1st,Web Development,Mass-Mailing
LD260,Ahmedabad,XYZ University,1st,Web Development,LinkedIn
LD261,Kolkata,ABC Institute,3rd,Electric Vehicle,Instagram
LD262,Mumbai,PQR College,2nd,Robotics,Google Form
LD263,Pune,GHI University,1st,Robotics,Instagram
LD264,Delhi,GHI University,3rd,Robotics,College Collaboration
LD265,Ahmedabad,ABC Institute,1st,Robotics,Google Form
LD266,Chennai,PQR College,3rd,Electric Vehicle,Instagram
LD267,Kolkata,GHI University,4th,Web Development,College Collaboration
LD268,Ahmedabad,DEF Academy,4th,Electric Vehicle,Mass-Mailing
LD269,Ahmedabad,PQR College,3rd,Data Science,Whatsapp
LD270,Kolkata,ABC Institute,1st,Robotics,Instagram
LD271,Kolkata,XYZ University,3rd,Electric Vehicle,Google Form
LD272,Kolkata,DEF Academy,2nd,Data Science,College Collaboration
LD273,Kolkata,ABC Institute,1st,Web Development,LinkedIn
LD274,Delhi,DEF Academy,3rd,Robotics,Whatsapp
LD275,Surat,XYZ University,3rd,Data Science,Instagram
LD276,Ahmedabad,DEF Academy,1st,Robotics,Whatsapp
LD277,Ahmedabad,PQR College,2nd,Web Development,LinkedIn
LD278,Chennai,DEF Academy,1st,Web Development,Mass-Mailing
LD279,Mumbai,DEF Academy,3rd,Electric Vehicle,College Collaboration
LD280,Mumbai,PQR College,1st,Electric Vehicle,Google Form
LD281,Pune,DEF Academy,3rd,Data Science,Google Form
LD282,Delhi,XYZ University,2nd,Electric Vehicle,College Collaboration
LD283,Chennai,GHI University,2nd,Robotics,Mass-Mailing
LD284,Surat,ABC Institute,4th,Electric Vehicle,Whatsapp
LD285,Delhi,XYZ University,4th,Data Science,Whatsapp
LD286,Pune,XYZ University,1st,Web Development,LinkedIn
LD287,Pune,DEF Academy,4th,AI,College Collaboration
LD288,Surat,DEF Academy,4th,Data Science,Instagram
LD289,Ahmedabad,DEF Academy,4th,Web Development,College Collaboration
LD290,Ahmedabad,XYZ University,1st,Data Science,Google Form
LD291,Delhi,ABC Institute,4th,Web Development,Instagram
LD292,Chennai,DEF Academy,2nd,Data Science,Mass-Mailing
LD293,Kolkata,XYZ University,4th,Robotics,College Collaboration
LD294,Surat,PQR College,1st,Data Science,Google Form
LD295,Delhi,PQR College,3rd,Electric Vehicle,Instagram
LD296,Mumbai,GHI University,3rd,AI,Mass-Mailing
LD297,Mumbai,XYZ University,4th,Data Science,Mass-Mailing
LD298,Kolkata,DEF Academy,2nd,Robotics,Instagram
LD299,Chennai,GHI University,3rd,AI,Whatsapp
LD300,Delhi,XYZ University,4th,Web Development,Whatsapp
LD301,Delhi,PQR College,2nd,AI,Mass-Mailing
LD302,Delhi,ABC Institute,4th,Data Science,Mass-Mailing
LD303,Ahmedabad,PQR College,4th,Robotics,Google Form
LD304,Mumbai,DEF Academy,4th,Robotics,LinkedIn
LD305,Mumbai,PQR College,2nd,Electric Vehicle,Google Form
LD306,Pune,DEF Academy,2nd,Data Science,Instagram
LD307,Mumbai,DEF Academy,3rd,Electric Vehicle,LinkedIn
LD308,Kolkata,GHI University,3rd,Electric Vehicle,College Collaboration
LD309,Kolkata,PQR College,3rd,Web Development,Whatsapp
LD310,Ahmedabad,PQR College,2nd,Data Science,College Collaboration
LD311,Pune,PQR College,3rd,AI,Whatsapp
LD312,Kolkata,XYZ University,1st,Data Science,Instagram
LD313,Surat,GHI University,2nd,Robotics,LinkedIn
LD314,Pune,XYZ University,3rd,Electric Vehicle,College Collaboration
LD315,Pune,GHI University,4th,Electric Vehicle,LinkedIn
LD316,Surat,XYZ University,1st,Web Development,LinkedIn
LD317,Mumbai,GHI University,1st,Data Science,Mass-Mailing
LD318,Pune,GHI University,3rd,Electric Vehicle,Mass-Mailing
LD319,Delhi,ABC Institute,2nd,AI,Google Form
LD320,Delhi,GHI University,4th,AI,Whatsapp
LD321,Surat,GHI University,3rd,Data Science,Mass-Mailing
LD322,Mumbai,GHI University,2nd,Robotics,College Collaboration
LD323,Pune,XYZ University,2nd,Electric Vehicle,College Collaboration
LD324,Chennai,GHI University,2nd,Robotics,LinkedIn
LD325,Delhi,DEF Academy,1st,Electric Vehicle,Instagram
LD326,Delhi,XYZ University,1st,Robotics,Mass-Mailing
LD327,Kolkata,GHI University,1st,Web Development,College Collaboration
LD328,Delhi,PQR College,4th,AI,LinkedIn
LD329,Mumbai,GHI University,3rd,Web Development,LinkedIn
LD330,Pune,PQR College,4th,Data Science,Instagram
LD331,Mumbai,GHI University,4th,AI,Google Form
LD332,Ahmedabad,ABC Institute,4th,AI,LinkedIn
LD333,Surat,GHI University,1st,AI,Google Form
LD334,Delhi,DEF Academy,3rd,Data Science,College Collaboration
LD335,Chennai,GHI University,3rd,Robotics,College Collaboration
LD336,Delhi,DEF Academy,2nd,Electric Vehicle,Whatsapp
LD337,Ahmedabad,XYZ University,2nd,Web Development,Instagram
LD338,Surat,DEF Academy,3rd,Robotics,Whatsapp
LD339,Pune,DEF Academy,4th,AI,Mass-Mailing
LD340,Mumbai,GHI University,4th,Web Development,Instagram
LD341,Delhi,GHI University,1st,AI,Instagram
LD342,Delhi,GHI University,3rd,Data Science,Whatsapp
LD343,Ahmedabad,XYZ University,2nd,Electric Vehicle,College Collaboration
LD344,Ahmedabad,GHI University,2nd,Robotics,College Collaboration
LD345,Ahmedabad,GHI University,3rd,Web Development,LinkedIn
LD346,Surat,XYZ University,3rd,Electric Vehicle,Mass-Mailing
LD347,Mumbai,PQR College,3rd,AI,Whatsapp
LD348,Kolkata,XYZ University,4th,AI,Mass-Mailing
LD349,Ahmedabad,XYZ University,4th,AI,Instagram
LD350,Kolkata,ABC Institute,3rd,Web Development,Instagram
LD351,Kolkata,DEF Academy,2nd,Web Development,LinkedIn
LD352,Delhi,DEF Academy,3rd,Data Science,Whatsapp
LD353,Delhi,PQR College,4th,Web Development,LinkedIn
LD354,Chennai,DEF Academy,2nd,Electric Vehicle,LinkedIn
LD355,Chennai,PQR College,1st,AI,Instagram
LD356,Mumbai,ABC Institute,3rd,Web Development,Instagram
LD357,Kolkata,XYZ University,1st,Robotics,Whatsapp
LD358,Pune,GHI University,2nd,Electric Vehicle,College Collaboration
LD359,Delhi,ABC Institute,2nd,Web Development,Mass-Mailing
LD360,Kolkata,DEF Academy,2nd,Robotics,Instagram
LD361,Chennai,ABC Institute,1st,Web Development,Mass-Mailing
LD362,Mumbai,XYZ University,2nd,Robotics,Mass-Mailing
LD363,Pune,GHI University,3rd,Web Development,College Collaboration
LD364,Chennai,XYZ University,3rd,Data Science,Whatsapp
LD365,Ahmedabad,PQR College,1st,Robotics,College Collaboration
LD366,Mumbai,DEF Academy,1st,AI,Instagram
LD367,Mumbai,XYZ University,1st,Data Science,Whatsapp
LD368,Surat,XYZ University,3rd,AI,Whatsapp
LD369,Delhi,DEF Academy,2nd,Data Science,Instagram
LD370,Ahmedabad,DEF Academy,2nd,Robotics,LinkedIn
LD371,Mumbai,GHI University,2nd,AI,Instagram
LD372,Surat,DEF Academy,1st,Data Science,College Collaboration
LD373,Mumbai,ABC Institute,4th,AI,Mass-Mailing
LD374,Delhi,PQR College,4th,Electric Vehicle,Mass-Mailing
LD375,Mumbai,XYZ University,3rd,Web Development,College Collaboration
LD376,Mumbai,DEF Academy,2nd,AI,Mass-Mailing
LD377,Mumbai,ABC Institute,2nd,AI,Instagram
LD378,Ahmedabad,XYZ University,4th,Electric Vehicle,Instagram
LD379,Pune,GHI University,4th,Web Development,Whatsapp
LD380,Delhi,ABC Institute,2nd,Web Development,Instagram
LD381,Chennai,XYZ University,3rd,Data Science,LinkedIn
LD382,Ahmedabad,GHI University,1st,Robotics,Instagram
LD383,Pune,PQR College,3rd,Web Development,Whatsapp
LD384,Ahmedabad,DEF Academy,1st,AI,LinkedIn
LD385,Ahmedabad,XYZ University,2nd,Web Development,Google Form
LD386,Kolkata,ABC Institute,2nd,Data Science,College Collaboration
LD387,Pune,XYZ University,3rd,AI,Mass-Mailing
LD388,Pune,PQR College,4th,Electric Vehicle,College Collaboration
LD389,Chennai,PQR College,4th,Electric Vehicle,Mass-Mailing
LD390,Delhi,ABC Institute,1st,Robotics,Whatsapp
LD391,Chennai,ABC Institute,4th,AI,Whatsapp
LD392,Delhi,ABC Institute,2nd,Data Science,Mass-Mailing
LD393,Ahmedabad,DEF Academy,4th,Web Development,Mass-Mailing
LD394,Mumbai,PQR College,1st,Web Development,Google Form
LD395,Ahmedabad,DEF Academy,2nd,Web Development,Mass-Mailing
LD396,Ahmedabad,GHI University,3rd,AI,Whatsapp
LD397,Mumbai,XYZ University,3rd,Robotics,Whatsapp
LD398,Mumbai,DEF Academy,3rd,Robotics,Mass-Mailing
LD399,Chennai,PQR College,4th,Web Development,Mass-Mailing
LD400,Ahmedabad,GHI University,1st,Data Science,Google Form
LD401,Mumbai,ABC Institute,2nd,Data Science,Whatsapp
LD402,Surat,PQR College,2nd,Data Science,Whatsapp
LD403,Mumbai,ABC Institute,3rd,Robotics,LinkedIn
LD404,Surat,PQR College,1st,Robotics,Instagram
LD405,Mumbai,GHI University,4th,Data Science,College Collaboration
LD406,Surat,XYZ University,1st,AI,Mass-Mailing
LD407,Delhi,DEF Academy,4th,Data Science,Instagram
LD408,Pune,GHI University,1st,Robotics,Instagram
LD409,Ahmedabad,PQR College,2nd,AI,LinkedIn
LD410,Pune,XYZ University,4th,AI,Mass-Mailing
LD411,Mumbai,DEF Academy,4th,Data Science,LinkedIn
LD412,Kolkata,DEF Academy,2nd,Electric Vehicle,College Collaboration
LD413,Mumbai,GHI University,3rd,Robotics,Mass-Mailing
LD414,Mumbai,PQR College,3rd,AI,Whatsapp
LD415,Ahmedabad,XYZ University,4th,Data Science,Instagram
LD416,Mumbai,PQR College,3rd,Web Development,LinkedIn
LD417,Ahmedabad,GHI University,3rd,Data Science,Instagram
LD418,Mumbai,DEF Academy,3rd,Robotics,College Collaboration
LD419,Kolkata,PQR College,1st,Robotics,College Collaboration
LD420,Kolkata,PQR College,3rd,Data Science,College Collaboration
LD421,Pune,DEF Academy,1st,Data Science,Mass-Mailing
LD422,Ahmedabad,PQR College,1st,Web Development,Google Form
LD423,Kolkata,ABC Institute,3rd,Robotics,College Collaboration
LD424,Chennai,PQR College,1st,Electric Vehicle,Google Form
LD425,Pune,PQR College,3rd,Robotics,Whatsapp
LD426,Delhi,GHI University,1st,AI,College Collaboration
LD427,Mumbai,PQR College,2nd,Data Science,College Collaboration
LD428,Delhi,DEF Academy,1st,AI,Whatsapp
LD429,Ahmedabad,ABC Institute,1st,AI,Whatsapp
LD430,Delhi,XYZ University,2nd,Data Science,Whatsapp
LD431,Pune,DEF Academy,1st,Web Development,Google Form
LD432,Kolkata,XYZ University,2nd,Robotics,Whatsapp
LD433,Pune,GHI University,4th,Web Development,College Collaboration
LD434,Ahmedabad,GHI University,2nd,Web Development,LinkedIn
LD435,Delhi,ABC Institute,4th,Data Science,LinkedIn
LD436,Pune,DEF Academy,2nd,Data Science,Google Form
LD437,Chennai,ABC Institute,4th,AI,Instagram
LD438,Pune,XYZ University,4th,Robotics,Google Form
LD439,Mumbai,PQR College,3rd,Robotics,College Collaboration
LD440,Delhi,XYZ University,2nd,Robotics,Mass-Mailing
LD441,Pune,PQR College,1st,Data Science,Mass-Mailing
LD442,Kolkata,PQR College,3rd,Web Development,Mass-Mailing
LD443,Ahmedabad,GHI University,2nd,Data Science,Google Form
LD444,Delhi,GHI University,4th,Web Development,Google Form
LD445,Chennai,ABC Institute,2nd,Electric Vehicle,Whatsapp
LD446,Pune,PQR College,2nd,Data Science,LinkedIn
LD447,Mumbai,PQR College,3rd,Robotics,Whatsapp
LD448,Delhi,ABC Institute,1st,AI,Google Form
LD449,Chennai,DEF Academy,1st,AI,College Collaboration
